testid msgsize chunksize datasize time bandwidth numpaths/job maxpath/job minpath/job avgpath/job medpath/job totalhopbytes maxhopbytes minhopbytes avghopbytes medhopbytes totalcopies maxcopies/path mincopies/paths avgcopies/paths medcopies/path totalhops maxhops/path minhop/path avghops/path medhop/path totalcopies/node maxopies/node mincopies/node avgcopies/node medcopies/node maxloadpath minloadpath avgloadpath medloadpath maxloadlink minloadlink avgloadlink medloadlink totalrput maxrputs minrput avgrput medrput
33 8388608 65536 512 4728 108277 64 1 1 1.00 1 536870912 8388608 8388608 8388608.00 8388608 0 0 0 0.00 0 64 1 1 1.00 1 0 0 0 0.00 0 1 1 1.00 1 8388608 8388608 8388608.00 8388608 0 0 0 0.00 0
34 8388608 65536 1024 16586 61738 128 1 1 1.00 1 4362076160 50331648 16777216 34078720.00 33554432 0 0 0 0.00 0 520 6 2 4.06 4 0 0 0 0.00 0 2 1 1.78 2 16777216 8388608 14938616.99 16777216 0 0 0 0.00 0
35 8388608 65536 1024 15133 67664 128 1 1 1.00 1 4429185024 58720256 16777216 34603008.00 33554432 0 0 0 0.00 0 528 7 2 4.12 4 0 0 0 0.00 0 2 1 1.78 2 16777216 8388608 14963462.92 16777216 0 0 0 0.00 0
36 8388608 65536 1024 15258 67108 128 1 1 1.00 1 4563402752 58720256 8388608 35651584.00 33554432 0 0 0 0.00 0 544 7 1 4.25 4 0 0 0 0.00 0 2 1 1.79 2 16777216 8388608 15011193.26 16777216 0 0 0 0.00 0
37 8388608 65536 2048 30246 67710 256 1 1 1.00 1 9529458688 67108864 8388608 37224448.00 33554432 0 0 0 0.00 0 1136 8 1 4.44 4 0 0 0 0.00 0 4 1 2.65 2 33554432 8388608 22265090.39 16777216 0 0 0 0.00 0
38 8388608 65536 2048 29722 68904 256 1 1 1.00 1 9395240960 67108864 8388608 36700160.00 33554432 0 0 0 0.00 0 1120 8 1 4.38 4 0 0 0 0.00 0 4 1 2.64 2 33554432 8388608 22158587.17 16777216 0 0 0 0.00 0
39 8388608 65536 2048 24352 84098 256 1 1 1.00 1 9126805504 67108864 8388608 35651584.00 33554432 0 0 0 0.00 0 1088 8 1 4.25 4 0 0 0 0.00 0 4 1 2.62 2 33554432 8388608 21939436.31 16777216 0 0 0 0.00 0
40 8388608 65536 1024 21416 47814 128 1 1 1.00 1 4831838208 67108864 8388608 37748736.00 41943040 0 0 0 0.00 0 576 8 1 4.50 5 0 0 0 0.00 0 3 1 1.44 1 25165824 8388608 12079595.52 8388608 0 0 0 0.00 0
41 8388608 65536 1024 24388 41987 128 1 1 1.00 1 3758096384 58720256 8388608 29360128.00 33554432 0 0 0 0.00 0 448 7 0 3.50 4 0 0 0 0.00 0 3 1 1.75 2 25165824 8388608 14680064.00 16777216 0 0 0 0.00 0
42 8388608 65536 1024 23549 43483 128 1 1 1.00 1 3758096384 58720256 8388608 29360128.00 33554432 0 0 0 0.00 0 448 7 0 3.50 4 0 0 0 0.00 0 3 1 1.75 2 25165824 8388608 14680064.00 16777216 0 0 0 0.00 0
