testid msgsize chunksize datasize time bandwidth numpaths/job maxpath/job minpath/job avgpath/job medpath/job totalhopbytes maxhopbytes minhopbytes avghopbytes medhopbytes totalcopies maxcopies/path mincopies/paths avgcopies/paths medcopies/path totalhops maxhops/path minhop/path avghops/path medhop/path totalcopies/node maxopies/node mincopies/node avgcopies/node medcopies/node maxloadpath minloadpath avgloadpath medloadpath maxloadlink minloadlink avgloadlink medloadlink totalrput maxrputs minrput avgrput medrput
32 8388608 65536 512 13213 38749 108 4 1 1.69 2 2108336778 33554432 8388606 19521636.83 16777216 23976 384 86 222.00 192 434 6 3 4.02 4 24001 384 32 115.95 107 1 1 1.00 1 8388608 2097152 4857516.24 4194304 32168 448 32 156.16 128
33 8388608 65536 512 3353 152699 224 4 3 3.50 4 1326798016 10485760 2097152 5923205.43 6291456 12032 128 64 53.71 64 558 5 1 2.49 3 12057 86 32 44.49 32 1 1 1.00 1 2818048 2097152 2375268.93 2097152 20249 171 32 64.49 43
34 8388608 65536 1024 16360 62591 296 5 1 2.31 2 4735089323 50331648 3355442 15996923.39 16777212 55862 640 26 188.72 192 1283 6 2 4.33 4 55887 640 25 208.53 171 2 1 1.48 1 16777216 1638400 5448462.43 4194304 72271 875 25 269.67 171
35 8388608 65536 1024 19253 53186 300 7 1 2.34 2 4794049312 50331648 2396744 15980164.37 16777212 56766 640 18 189.22 192 1312 7 2 4.37 4 56791 704 18 208.03 150 2 1 1.48 1 16777216 1179648 5410788.26 4194304 73175 960 18 268.04 150
36 8388608 65536 1024 19604 52234 295 5 1 2.30 2 4969131502 58720256 2097152 16844513.57 16777212 59432 768 26 201.46 192 1322 7 1 4.48 5 59457 735 25 221.85 192 2 1 1.51 2 16777216 1638400 5665538.63 4456448 75841 991 25 282.99 192
37 8388608 65536 2048 23830 85942 507 4 1 1.98 2 10410261928 58720256 4194304 20533061.00 16777216 126084 768 32 248.69 215 2469 8 1 4.87 5 126084 1408 32 336.22 256 3 1 1.84 2 20971520 2097152 7745926.10 8388608 158877 1920 32 422.55 256
38 8388608 65536 2048 26419 77519 355 4 1 1.39 1 6031409092 58720256 2796202 16989884.77 25165824 124798 768 32 351.54 320 1702 8 1 4.79 5 124798 1344 42 335.48 256 2 1 1.45 1 16777216 2097152 8810789.57 8388608 157591 1856 42 422.50 256
39 8388608 65536 2048 31558 64896 525 6 1 2.05 2 10373911260 58720256 2097152 19759830.97 16777216 125518 768 32 239.08 192 2510 8 1 4.78 5 125518 1323 32 333.82 256 3 1 1.89 2 20971520 1376256 7793712.47 8388608 158311 1835 32 419.92 256
40 8388608 65536 1024 24210 42296 265 5 1 2.07 2 5421277525 58720256 5033163 20457651.04 16777216 66332 768 43 250.31 215 1325 8 2 5.00 5 66357 768 26 228.82 192 2 1 1.54 2 16777216 1638400 6310681.93 5832704 82741 896 26 280.48 256
41 8388608 65536 1024 21581 47449 248 5 1 1.94 2 4822051297 58720256 1677721 19443755.23 16777216 57184 768 42 230.58 192 1092 7 1 4.40 5 57209 896 32 243.44 171 2 1 1.51 2 16777216 1638400 6677773.47 6946816 73568 1024 32 305.26 256
42 8388608 65536 1024 17827 57440 249 6 1 1.95 2 4768923506 50331648 2796202 19152303.24 16777216 56376 640 32 226.41 192 1096 7 1 4.40 4 56401 896 32 242.06 192 2 1 1.54 2 16777216 1376256 6678430.48 6291456 72760 1024 32 296.98 213
43 8388608 65536 1024 19716 51937 323 5 1 2.52 2 5452035544 58720256 3355442 16879367.01 16777212 66800 768 26 206.81 192 1604 8 2 4.97 5 66825 672 25 208.83 192 2 1 1.53 2 12582912 1638400 5201857.47 4194304 83209 800 25 260.03 256
44 8388608 65536 1024 21693 47204 331 6 1 2.59 2 5290694617 67108864 1677721 15983971.65 13981010 64332 896 32 194.36 172 1588 8 1 4.80 5 64357 640 21 200.49 171 2 1 1.53 2 16777216 1376256 5081463.76 4194304 80741 768 21 250.75 202
45 8388608 65536 1024 17466 58628 366 7 1 2.86 2 4741041121 50331648 1398101 12953664.27 11184808 55936 640 18 152.83 128 1549 7 1 4.23 4 55961 673 18 187.16 125 2 1 1.55 2 16777216 1179648 4730103.31 4194304 72345 801 21 238.76 133
46 8388608 65536 1024 12344 82955 394 6 1 3.08 3 4162986063 41943040 4194303 10565954.47 10485760 47130 512 42 119.62 126 1526 6 3 3.87 4 47155 341 21 111.21 103 2 1 1.51 2 12582912 1376256 4113096.35 4194304 63539 469 21 149.50 115
47 8388608 65536 1024 12445 82282 297 4 1 2.32 2 3035277768 33554432 2097152 10219790.46 8388608 29890 384 43 100.64 84 828 5 1 2.79 3 29915 192 32 70.89 64 1 1 1.00 1 8388608 2097152 3662575.92 4194304 46299 320 32 102.66 64
48 8388608 65536 1024 10925 93729 257 3 1 2.01 2 3377812750 25165824 5592404 13143240.27 12582912 35146 256 43 136.75 128 814 5 2 3.17 3 35171 256 42 89.95 64 1 1 1.00 1 8388608 2752512 4148734.74 4194304 51555 320 42 130.19 128
49 8388608 65536 2048 21617 94740 495 5 1 1.93 2 10960834557 67108864 4194304 22143100.12 20971520 134474 896 32 271.66 256 2520 9 1 5.09 5 134474 1131 32 270.57 235 2 1 1.46 1 16777216 1638400 6335474.98 5636096 167267 1387 32 335.88 256
50 8388608 65536 2048 19623 104367 504 5 1 1.97 2 10947133115 67108864 1677721 21720502.21 20971520 134262 896 32 266.39 256 2550 9 1 5.06 5 134262 746 32 270.69 239 2 1 1.46 1 16777216 1638400 6247989.77 5570560 167055 1002 32 336.13 256
51 8388608 65536 2048 18636 109894 519 5 1 2.03 2 6206451018 67108864 2097152 11958479.80 16777216 127470 896 26 245.61 215 2491 9 1 4.80 5 127470 917 32 267.79 192 2 1 1.50 2 16777216 1638400 6326119.02 5636096 160263 1173 32 335.98 192
