testid msgsize chunksize datasize time bandwidth numpaths/job maxpath/job minpath/job avgpath/job medpath/job totalhopbytes maxhopbytes minhopbytes avghopbytes medhopbytes totalcopies maxcopies/path mincopies/paths avgcopies/paths medcopies/path totalhops maxhops/path minhop/path avghops/path medhop/path totalcopies/node maxopies/node mincopies/node avgcopies/node medcopies/node maxloadpath minloadpath avgloadpath medloadpath maxloadlink minloadlink avgloadlink medloadlink totalrput maxrputs minrput avgrput medrput
19 8388608 65536 512 8594 59576 370 11 2 5.78 6 2747780483 28530084 11605 7426433.74 5553708 33710 360 3 91.11 66 1877 7 3 5.07 5 33735 358 1 133.87 98 8 1 2.25 2 5046272 65536 3288729.91 4128768 41927 614 1 166.38 98
20 8388608 65536 512 7798 65657 344 9 2 5.38 5 2657203105 27627768 67430 7724427.63 5518225 32346 350 4 94.03 69 1711 7 1 4.97 5 32371 350 1 133.21 105 8 1 2.09 2 4915200 65536 3251772.79 4390912 40563 606 1 166.93 105
21 8388608 65536 512 6826 75007 380 11 3 5.94 6 2619152355 24844350 12126 6892506.20 5165795 31778 310 2 83.63 64 1871 7 2 4.92 5 31803 316 2 126.71 108 8 1 2.15 2 4456448 65536 3007432.74 3866624 39995 571 2 159.34 108
22 8388608 65536 1024 10603 96576 488 8 2 3.81 4 5268662334 49533498 16124 10796439.21 8686905 64016 625 3 131.18 108 2409 7 2 4.94 5 64041 630 1 230.36 168 9 1 2.49 2 8650752 65536 5437661.92 6094848 80425 1139 1 289.30 168
23 8388608 65536 1024 10499 97533 473 8 2 3.70 4 5299999217 49509708 20145 11205072.34 8654526 64488 625 3 136.34 104 2329 6 2 4.92 5 64513 633 1 226.36 171 9 1 2.37 2 8585216 65536 5386206.70 6029312 80897 1136 1 283.85 171
24 8388608 65536 1024 10254 99863 476 8 2 3.72 4 5247557031 48077988 11736 11024279.48 7856492 63686 610 2 133.79 96 2312 6 1 4.86 5 63711 638 1 228.35 186 9 1 2.34 2 8388608 65536 5311201.94 6619136 80095 1103 1 287.08 186
25 8388608 65536 2048 21481 95340 560 6 1 2.19 2 10469285441 58720256 40290 18695152.57 16317895 127010 768 3 226.80 192 2799 8 1 5.00 5 127035 1250 2 388.49 310 9 1 2.35 2 16908288 65536 8806737.60 8126464 159803 2274 2 488.69 310
26 8388608 65536 2048 20390 100441 568 5 1 2.22 2 10508066601 65267648 31772 18500117.26 16118505 127594 868 3 224.64 195 2832 8 1 4.99 5 127594 1216 1 374.18 293 10 1 2.32 2 16515072 65536 8600232.43 7864320 160387 2240 1 468.97 275
27 8388608 65536 2048 19647 104239 573 6 1 2.24 2 10386055158 54440827 30952 18125750.71 16018835 125740 708 3 219.44 190 2829 8 1 4.94 5 125740 1157 2 370.91 299 10 1 2.32 2 16121856 65536 8500802.20 8323072 158533 2181 2 466.27 297
28 8388608 65536 512 9430 54294 463 12 3 7.23 7 2744022936 23459082 7632 5926615.41 4456745 33640 295 3 72.66 56 2366 7 3 5.11 5 33665 356 2 119.38 89 10 1 2.54 2 4194304 65536 2947851.56 3735552 41857 484 2 148.43 89
29 8388608 65536 512 8166 62698 443 10 4 6.92 7 2661582195 23034456 56235 6008086.22 4509156 32386 290 3 73.11 56 2182 6 3 4.93 5 32411 359 2 120.49 90 9 1 2.36 2 4194304 65536 2881169.89 3670016 40603 487 2 150.94 93
30 8388608 65536 512 18834 27184 202 6 1 3.16 3 2159014974 47947776 114688 10688192.94 8388608 24778 605 3 122.66 96 888 6 1 4.40 5 24803 610 2 219.50 130 8 1 2.23 2 8781824 65536 5415343.16 5898240 32970 738 2 294.38 258
31 8388608 65536 512 5456 93841 453 11 3 7.08 7 2508060953 14658590 7155 5536558.40 4321660 30084 180 2 66.41 52 2122 6 2 4.68 5 30109 193 3 80.51 67 8 1 1.84 1 3342336 65536 2169944.58 2686976 38301 311 3 102.41 69
32 8388608 65536 512 7689 66588 446 11 4 6.97 7 2726175927 20636478 100740 6112502.08 4405864 33372 260 3 74.83 56 2218 6 3 4.97 5 33397 253 5 98.52 97 7 1 2.07 2 3670016 65536 2536255.40 3211264 41589 330 5 122.68 98
33 8388608 65536 512 3545 144428 718 16 7 11.22 11 2387640502 11985395 5850 3325404.60 2956140 28474 136 4 39.66 36 3344 5 1 4.66 5 28499 204 1 75.59 61 7 1 2.35 2 2686976 65536 1693405.90 2097152 36691 332 1 97.32 61
34 8388608 65536 1024 10782 94973 665 11 2 5.20 5 5440035436 35953680 14625 8180504.42 6286335 66628 455 3 100.19 80 3388 6 3 5.09 5 66653 534 2 190.98 144 10 1 2.57 2 6356992 65536 4137090.82 5439488 83037 790 2 237.93 144
35 8388608 65536 1024 11245 91062 671 9 2 5.24 5 5507733693 33620094 16416 8208246.93 6019220 67622 425 3 100.78 75 3430 7 3 5.11 5 67647 546 1 191.09 166 10 1 2.54 2 5963776 65536 4069044.51 5373952 84031 747 1 237.38 166
36 8388608 65536 1024 10490 97616 629 9 2 4.91 5 5560013095 40209316 11308 8839448.48 6898615 68430 522 3 108.79 85 3234 7 1 5.14 5 68455 536 1 206.19 186 10 1 2.40 2 6094848 65536 4117311.34 5242880 84839 792 1 255.54 189
37 8388608 65536 2048 14720 139130 835 7 1 3.26 3 11102124778 67108864 27130 13295957.82 11083588 136650 896 3 163.65 135 4341 8 2 5.20 5 136675 1022 1 347.77 293 9 1 2.62 2 11403264 65536 6692572.66 6815744 169443 1534 1 431.15 293
38 8388608 65536 2048 14059 145671 880 7 1 3.44 3 11113985247 58720256 20760 12629528.69 10502640 136840 768 3 155.50 130 4585 8 2 5.21 5 136865 956 3 331.39 264 9 1 2.70 2 10944512 65536 6550047.08 6815744 169633 1468 3 410.73 264
39 8388608 65536 2048 14350 142717 901 7 1 3.52 3 11014501010 50366890 50320 12224751.40 9938510 135334 654 3 150.20 123 4652 8 2 5.16 5 135359 906 5 335.05 264 10 1 2.70 2 10747904 65536 6397638.02 6422528 168127 1418 5 416.16 264
40 8388608 65536 1024 17033 60118 613 7 2 4.79 5 5822566774 58835168 17955 9498477.61 7340480 72450 784 4 118.19 93 3292 8 2 5.37 5 72475 759 2 231.55 203 8 1 2.73 2 7667712 65536 4843448.44 5570560 88859 887 2 282.09 240
41 8388608 65536 1024 17048 60065 510 7 1 3.98 4 5158798044 44580864 20470 10115290.28 8433684 62370 565 3 122.29 100 2538 7 1 4.98 5 62395 773 5 244.69 186 8 1 2.70 2 8716288 65536 5490661.86 6029312 78779 901 5 306.53 250
42 8388608 65536 1024 19218 53283 506 8 1 3.95 4 5160410095 49152000 40960 10198438.92 8392704 62384 625 3 123.29 104 2512 7 1 4.96 5 62409 787 1 252.67 190 10 1 2.75 2 8781824 65536 5641682.68 6684672 78793 915 1 311.43 233
43 8388608 65536 1024 12487 82005 788 10 2 6.16 6 5871760191 33907632 16548 7451472.32 5865675 73198 430 4 92.89 75 4345 8 3 5.51 6 73223 574 11 211.63 202 9 1 2.87 3 6029312 65536 3877705.38 4849664 89607 702 11 258.98 248
44 8388608 65536 1024 12698 80642 784 11 2 6.12 6 5842988092 36991409 10320 7452790.93 5604444 72732 468 3 92.77 72 4230 8 3 5.40 5 72757 525 1 199.88 183 11 1 2.71 2 5636096 65536 3743786.01 4915200 89141 653 1 244.89 212
45 8388608 65536 1024 14595 70161 474 6 1 3.70 4 4732108851 41943040 24588 9983352.01 8540160 55908 512 3 117.95 99 2238 7 1 4.72 5 55933 747 3 266.35 167 9 1 2.70 2 8716288 65536 5708106.64 6553600 72317 875 8 344.37 264
46 8388608 65536 1024 9708 105480 810 9 2 6.33 6 5402084930 26417016 12888 6669240.65 5131146 66016 325 3 81.50 64 4067 6 3 5.02 5 66041 313 6 137.59 131 8 1 2.28 2 4653056 65536 3033801.35 4128768 82425 421 6 171.72 131
