testid msgsize chunksize datasize time bandwidth numpaths/job maxpath/job minpath/job avgpath/job medpath/job totalhopbytes maxhopbytes minhopbytes avghopbytes medhopbytes totalcopies maxcopies/path mincopies/paths avgcopies/paths medcopies/path totalhops maxhops/path minhop/path avghops/path medhop/path totalcopies/node maxopies/node mincopies/node avgcopies/node medcopies/node maxloadpath minloadpath avgloadpath medloadpath maxloadlink minloadlink avgloadlink medloadlink totalrput maxrputs minrput avgrput medrput
42 8388608 65536 8192 81927 99991 6256 30 1 6.11 4 67696856884 117440512 279620 10821108.84 5033160 901772 1664 5 144.15 64 42747 15 1 6.83 6 901797 3768 4 584.82 245 16 1 7.14 6 77332480 262144 11298358.27 7012352 1032844 3896 4 650.00 318
43 8388608 65536 8192 38851 210856 10910 35 1 10.65 10 76187239287 125829120 493446 6983248.33 4194302 1031360 1792 4 94.53 56 84638 16 2 7.76 7 1031385 1834 4 450.39 392 16 1 7.44 6 44761088 196608 6700777.87 5046272 1162432 1834 4 498.68 444
44 8388608 65536 8192 52869 154949 10150 36 1 9.91 9 74216617758 117440512 254200 7311982.05 4441023 1001296 1664 5 98.65 56 76625 16 1 7.55 7 1001321 2030 3 451.66 336 16 1 7.32 6 50069504 196608 7088630.17 4849664 1132368 2158 3 510.08 421
45 8388608 65536 8192 66688 122840 7741 42 1 7.56 5 68415238138 109051904 199728 8838036.19 4473920 912660 1536 4 117.90 56 53306 15 1 6.89 6 912685 3158 3 572.22 396 16 1 7.30 6 76349440 196608 9370058.98 6094848 1043732 3286 3 654.79 524
46 8388608 65536 8192 13562 604040 16956 29 2 16.56 17 51980238438 20971520 1446310 3065595.57 2936010 660916 258 16 38.98 36 102702 7 5 6.06 6 660916 485 5 180.97 234 16 1 7.63 5 15204352 262144 3855859.56 2490368 792013 581 5 216.81 264
47 8388608 65536 8192 6588 1243472 27057 45 5 26.42 25 34435906310 6710884 186413 1272717.09 1342176 391358 78 4 14.46 15 109587 6 1 4.05 4 391383 252 8 95.53 82 16 1 4.74 3 7536640 131072 1481521.96 1114112 522430 380 8 127.55 82
48 8388608 65536 8192 5841 1402499 26979 39 5 26.35 26 36316319760 6710884 466032 1346095.84 1398100 420012 78 4 15.57 16 115151 6 2 4.27 4 420037 293 3 105.91 122 16 1 5.48 4 8060928 196608 1719065.21 1179648 551084 421 3 138.99 122
49 8388608 65536 16384 90817 180406 14973 36 1 7.31 6 154498477104 142606336 364722 10318471.72 5592400 2095176 2048 5 139.93 72 116060 17 1 7.75 7 2095176 3502 5 572.30 392 16 1 6.58 5 74514432 196608 8756905.31 5701632 2357320 3758 5 643.90 423
50 8388608 65536 16384 91088 179870 16566 35 1 8.09 7 152822743684 134217728 239674 9225084.13 5338200 2069528 1920 4 124.93 72 125601 17 1 7.58 7 2069528 3304 5 535.45 412 16 1 6.64 5 65077248 196608 8076130.02 5505024 2331672 3560 5 603.12 487
51 8388608 65536 16384 58586 279657 18271 37 1 8.92 8 148859856092 134217728 246723 8147329.43 5033160 2009020 1920 4 109.96 66 139821 17 1 7.65 7 2009020 2165 6 524.96 442 16 1 7.20 6 53280768 196608 7659685.26 5505024 2271164 2421 6 593.46 508
