testid msgsize chunksize datasize time bandwidth numpaths/job maxpath/job minpath/job avgpath/job medpath/job totalhopbytes maxhopbytes minhopbytes avghopbytes medhopbytes totalcopies maxcopies/path mincopies/paths avgcopies/paths medcopies/path totalhops maxhops/path minhop/path avghops/path medhop/path totalcopies/node maxopies/node mincopies/node avgcopies/node medcopies/node maxloadpath minloadpath avgloadpath medloadpath maxloadlink minloadlink avgloadlink medloadlink totalrput maxrputs minrput avgrput medrput
73 8388608 65536 8192 82186 99675 1024 1 1 1.00 1 64424509440 125829120 8388608 62914560.00 67108864 0 0 0 0.00 0 7680 15 1 7.50 8 0 0 0 0.00 0 16 1 6.32 5 134217728 8388608 52980682.11 41943040 0 0 0 0.00 0
74 8388608 65536 8192 81651 100328 1024 1 1 1.00 1 64424509440 125829120 8388608 62914560.00 67108864 0 0 0 0.00 0 7680 15 1 7.50 8 0 0 0 0.00 0 16 1 6.32 5 134217728 8388608 52980682.11 41943040 0 0 0 0.00 0
75 8388608 65536 8192 81634 100350 1024 1 1 1.00 1 64424509440 125829120 8388608 62914560.00 67108864 0 0 0 0.00 0 7680 15 1 7.50 8 0 0 0 0.00 0 16 1 6.32 5 134217728 8388608 52980682.11 41943040 0 0 0 0.00 0
76 8388608 65536 8192 51038 160507 1024 1 1 1.00 1 64424509440 125829120 8388608 62914560.00 58720256 0 0 0 0.00 0 7680 15 1 7.50 7 0 0 0 0.00 0 8 1 5.03 5 67108864 8388608 42162637.07 41943040 0 0 0 0.00 0
77 8388608 65536 8192 54708 149740 1024 1 1 1.00 1 64424509440 125829120 8388608 62914560.00 58720256 0 0 0 0.00 0 7680 15 1 7.50 7 0 0 0 0.00 0 8 1 5.03 5 67108864 8388608 42162637.07 41943040 0 0 0 0.00 0
78 8388608 65536 8192 51778 158211 1024 1 1 1.00 1 64424509440 125829120 8388608 62914560.00 67108864 0 0 0 0.00 0 7680 15 1 7.50 8 0 0 0 0.00 0 8 1 5.03 5 67108864 8388608 42162637.07 41943040 0 0 0 0.00 0
79 8388608 65536 8192 46472 176278 1024 1 1 1.00 1 64424509440 125829120 8388608 62914560.00 58720256 0 0 0 0.00 0 7680 15 1 7.50 7 0 0 0 0.00 0 8 1 3.64 4 67108864 8388608 30504029.09 33554432 0 0 0 0.00 0
80 8388608 65536 8192 46599 175796 1024 1 1 1.00 1 64424509440 125829120 8388608 62914560.00 67108864 0 0 0 0.00 0 7680 15 1 7.50 8 0 0 0 0.00 0 8 1 3.64 4 67108864 8388608 30504029.09 33554432 0 0 0 0.00 0
81 8388608 65536 8192 46489 176211 1024 1 1 1.00 1 64424509440 125829120 8388608 62914560.00 67108864 0 0 0 0.00 0 7680 15 1 7.50 8 0 0 0 0.00 0 8 1 3.64 4 67108864 8388608 30504029.09 33554432 0 0 0 0.00 0
82 8388608 65536 16384 82218 199273 2048 1 1 1.00 1 137438953472 134217728 8388608 67108864.00 67108864 0 0 0 0.00 0 16384 16 1 8.00 8 0 0 0 0.00 0 16 1 6.56 5 134217728 8388608 55063683.28 41943040 0 0 0 0.00 0
83 8388608 65536 16384 81678 200591 2048 1 1 1.00 1 137438953472 134217728 8388608 67108864.00 67108864 0 0 0 0.00 0 16384 16 1 8.00 8 0 0 0 0.00 0 16 1 6.56 5 134217728 8388608 55063683.28 41943040 0 0 0 0.00 0
84 8388608 65536 16384 81693 200554 2048 1 1 1.00 1 137438953472 134217728 8388608 67108864.00 67108864 0 0 0 0.00 0 16384 16 1 8.00 8 0 0 0 0.00 0 16 1 6.56 5 134217728 8388608 55063683.28 41943040 0 0 0 0.00 0
85 8388608 65536 16384 54996 297908 2048 1 1 1.00 1 137438953472 134217728 8388608 67108864.00 67108864 0 0 0 0.00 0 16384 16 1 8.00 8 0 0 0 0.00 0 8 1 5.15 5 67108864 8388608 43165500.46 41943040 0 0 0 0.00 0
86 8388608 65536 16384 52300 313267 2048 1 1 1.00 1 137438953472 134217728 8388608 67108864.00 67108864 0 0 0 0.00 0 16384 16 1 8.00 8 0 0 0 0.00 0 8 1 5.15 5 67108864 8388608 43165500.46 41943040 0 0 0 0.00 0
87 8388608 65536 16384 54970 298051 2048 1 1 1.00 1 137438953472 134217728 8388608 67108864.00 67108864 0 0 0 0.00 0 16384 16 1 8.00 8 0 0 0 0.00 0 8 1 5.15 5 67108864 8388608 43165500.46 41943040 0 0 0 0.00 0
88 8388608 65536 16384 50978 321389 2048 1 1 1.00 1 137438953472 134217728 8388608 67108864.00 67108864 0 0 0 0.00 0 16384 16 1 8.00 8 0 0 0 0.00 0 8 1 3.76 4 67108864 8388608 31580641.88 33554432 0 0 0 0.00 0
90 8388608 65536 16384 50876 322035 2048 1 1 1.00 1 137438953472 134217728 8388608 67108864.00 67108864 0 0 0 0.00 0 16384 16 1 8.00 8 0 0 0 0.00 0 8 1 3.76 4 67108864 8388608 31580641.88 33554432 0 0 0 0.00 0
