O  35 OPTIQ_Alltoallv  msg = 8388608 chunk = 131072  2048 39549.0000 51783.8631   585 5 1 2.00 2  3118 9 2 5.33 5  67971 446 9 180.77 165  7 1 2.08 2  12976128 131072 7359055.77 7208960  84355 574 9 223.75 192  
O  36 OPTIQ_Alltoallv  msg = 8388608 chunk = 131072  2048 39408.0000 51969.1433   551 6 1 2.00 2  2961 9 1 5.37 5  70443 567 1 186.36 169  9 1 2.08 2  14155776 131072 8000922.46 8388608  86827 695 1 229.70 198  
O  37 OPTIQ_Alltoallv  msg = 8388608 chunk = 131072  4096 52026.0000 78729.8658  1049 5 1 2.00 2  5842 10 2 5.57 5  149518 685 1 214.21 188  8 1 2.18 2  16646144 131072 8908497.61 8388608  182311 941 1 260.44 191  
O  38 OPTIQ_Alltoallv  msg = 8388608 chunk = 131072  4096 54046.0000 75787.2923   982 5 1 1.00 2  5420 10 2 5.52 5  146958 758 1 211.76 192  8 1 2.17 2  17170432 131072 9456863.22 8388608  179751 1014 1 258.63 192  
O  39 OPTIQ_Alltoallv  msg = 8388608 chunk = 131072  4096 47781.0000 85724.4511  1012 5 1 1.00 2  5444 10 1 5.38 5  144090 746 1 217.99 192  9 1 2.30 2  18087936 131072 9818353.15 8388608  176858 1002 1 267.56 198  
O  40 OPTIQ_Alltoallv  msg = 8388608 chunk = 131072  2048 34919.0000 58650.0186   633 6 1 2.00 2  3575 10 2 5.65 6  75999 550 2 172.72 165  10 1 2.33 2  13762560 131072 7876088.34 8388608  92383 614 2 202.59 195  
O  41 OPTIQ_Alltoallv  msg = 8388608 chunk = 131072  2048 41404.0000 49463.8199   573 6 1 2.00 2  2845 9 1 4.97 5  64677 699 1 211.36 193  10 1 2.56 2  16252928 131072 9560351.57 8388608  81061 763 2 250.19 242  
O  42 OPTIQ_Alltoallv  msg = 8388608 chunk = 131072  2048 51424.0000 39825.7623   554 5 1 2.00 2  2751 9 1 4.97 5  64977 689 1 213.04 183  10 1 2.50 2  16252928 131072 9674112.70 8388608  81361 753 3 248.81 238  
O  43 OPTIQ_Alltoallv  msg = 8388608 chunk = 131072  2048 32410.0000 63190.3733   711 5 1 2.00 3  4238 10 2 5.96 6  79185 360 1 153.16 150  7 1 2.13 2  10747904 131072 6305711.56 6422528  95569 424 1 183.08 181  
O  44 OPTIQ_Alltoallv  msg = 8388608 chunk = 131072  2048 36443.0000 56197.3493   649 6 1 2.00 2  3701 10 1 5.70 6  74961 469 2 159.15 150  7 1 2.18 2  11927552 131072 7057485.28 7602176  91345 533 2 192.71 190  
O  45 OPTIQ_Alltoallv  msg = 8388608 chunk = 131072  2048 35998.0000 56892.0496   523 5 1 2.00 2  2547 9 1 4.87 5  60413 533 2 227.97 233  8 1 2.36 2  16252928 131072 9308658.26 8388608  76797 597 6 272.33 283  
