 38 OPTIQ_Alltoallv msg = 8388608 chunk = 65536  2048 14223.0000 143992.1254  880 4585 4585 1700 8 2 5.21 5 9 1 2.70 2  956 3   331.51 264  1468 3   410.73 264  10813440 65536 5892990.76 5439488 
 39 OPTIQ_Alltoallv msg = 8388608 chunk = 65536  2048 13524.0000 151434.4868  901 4652 4652 1723 8 2 5.16 5 10 1 2.70 2  906 5   335.14 264  1418 5   416.16 264  10485760 65536 5906696.26 5636096 
 40 OPTIQ_Alltoallv msg = 8388608 chunk = 65536  1024 17706.0000 57833.5028  613 3292 3292 1204 8 2 5.37 5 8 1 2.73 2  759 2   231.55 203  887 2   282.09 240  7602176 65536 4688954.70 4849664 
 41 OPTIQ_Alltoallv msg = 8388608 chunk = 65536  1024 17663.0000 57974.2966  510 2538 2538 940 7 1 4.98 5 8 1 2.70 2  773 5   244.69 186  901 5   306.53 250  8585216 131072 5084672.00 4980736 
 42 OPTIQ_Alltoallv msg = 8388608 chunk = 65536  1024 19920.0000 51405.6225  506 2512 2512 915 7 1 4.96 5 10 1 2.75 2  787 1   252.67 190  915 1   311.43 233  8650752 65536 5126371.56 4980736 
 43 OPTIQ_Alltoallv msg = 8388608 chunk = 65536  1024 12791.0000 80056.2896  788 4345 4345 1515 8 3 5.51 6 9 1 2.87 3  574 11   211.63 202  702 11   258.98 248  5963776 65536 3975090.83 5439488 
 44 OPTIQ_Alltoallv msg = 8388608 chunk = 65536  1024 13102.0000 78156.0067  784 4230 4230 1563 8 3 5.40 5 11 1 2.71 2  525 1   199.88 183  653 1   244.89 212  5636096 65536 3686084.06 4587520 
 45 OPTIQ_Alltoallv msg = 8388608 chunk = 65536  1024 15112.0000 67760.7200  474 2238 2238 830 7 1 4.72 5 9 1 2.70 2  747 3   266.35 167  875 8   344.37 264  8650752 262144 5456734.32 5701632 
 46 OPTIQ_Alltoallv msg = 8388608 chunk = 65536  1024 9929.0000 103132.2389  810 4067 4067 1780 6 3 5.02 5 8 1 2.28 2  313 6   137.59 131  421 6   171.72 131  4653056 65536 3341378.27 4194304 
 47 OPTIQ_Alltoallv msg = 8388608 chunk = 65536  1024 6653.0000 153915.5268  901 3810 3810 1946 6 1 4.23 4 6 1 1.96 2  233 5   100.89 95  361 5   132.89 98  3538944 65536 2480236.21 3211264 
