 49 MPI_Alltoallv msg = 8388608 chunk = 65536 2048 18563.4000 110324.6173  256 1248 1248 688 9 1 4.88 5 2 1 1.81 2  0 0 0.00 0  0 0 0.00 0  16777216 8388608 8388608.00 8388608
 50 MPI_Alltoallv msg = 8388608 chunk = 65536 2048 18241.0000 112274.5464  256 1216 1216 672 9 1 4.75 5 2 1 1.81 2  0 0 0.00 0  0 0 0.00 0  16777216 8388608 8388608.00 8388608
 51 MPI_Alltoallv msg = 8388608 chunk = 65536 2048 19358.7000 105792.2278  256 1152 1152 640 9 1 4.50 4 2 1 1.80 2  0 0 0.00 0  0 0 0.00 0  16777216 8388608 8388608.00 8388608
 52 MPI_Alltoallv msg = 8388608 chunk = 65536 2048 43498.4000 47082.1915  256 1024 1024 384 8 0 4.00 4 6 1 2.67 2  0 0 0.00 0  0 0 0.00 0  16777216 8388608 8388608.00 8388608
 53 MPI_Alltoallv msg = 8388608 chunk = 65536 2048 44419.1000 46106.2921  256 1024 1024 384 8 0 4.00 4 6 1 2.67 2  0 0 0.00 0  0 0 0.00 0  16777216 8388608 8388608.00 8388608
 54 MPI_Alltoallv msg = 8388608 chunk = 65536 2048 42940.8000 47693.5688  256 1024 1024 384 8 0 4.00 4 6 1 2.67 2  0 0 0.00 0  0 0 0.00 0  16777216 8388608 8388608.00 8388608
 55 MPI_Alltoallv msg = 8388608 chunk = 65536 2048 25433.0000 80525.3018  256 1152 1152 768 8 1 4.50 5 3 1 1.50 1  0 0 0.00 0  0 0 0.00 0  25165824 8388608 8388608.00 16777216
 56 MPI_Alltoallv msg = 8388608 chunk = 65536 2048 26674.4000 76777.7345  256 1024 1024 640 8 0 4.00 4 3 1 1.60 2  0 0 0.00 0  0 0 0.00 0  25165824 8388608 8388608.00 16777216
 57 MPI_Alltoallv msg = 8388608 chunk = 65536 2048 25269.8000 81045.3585  256 1024 1024 576 8 0 4.00 4 3 1 1.78 2  0 0 0.00 0  0 0 0.00 0  25165824 8388608 8388608.00 16777216
 58 MPI_Alltoallv msg = 8388608 chunk = 65536 2048 17499.8000 117029.9089  256 1216 1216 992 9 1 4.75 5 2 1 1.23 1  0 0 0.00 0  0 0 0.00 0  16777216 8388608 8388608.00 8388608
 59 MPI_Alltoallv msg = 8388608 chunk = 65536 2048 15439.3000 132648.5009  256 1152 1152 992 8 1 4.50 5 2 1 1.16 1  0 0 0.00 0  0 0 0.00 0  16777216 8388608 8388608.00 8388608
 60 MPI_Alltoallv msg = 8388608 chunk = 65536 2048 14377.7000 142442.8107  256 1024 1024 832 8 0 4.00 4 2 1 1.23 1  0 0 0.00 0  0 0 0.00 0  16777216 8388608 8388608.00 8388608
 61 MPI_Alltoallv msg = 8388608 chunk = 65536 2048 6762.2000 302860.0160  256 704 704 704 3 2 2.75 3 1 1 1.00 1  0 0 0.00 0  0 0 0.00 0  8388608 8388608 8388608.00 8388608
 62 MPI_Alltoallv msg = 8388608 chunk = 65536 2048 7292.7000 280828.7740  256 896 896 832 4 3 3.50 4 2 1 1.08 1  0 0 0.00 0  0 0 0.00 0  16777216 8388608 8388608.00 8388608
 63 MPI_Alltoallv msg = 8388608 chunk = 65536 2048 4734.6000 432560.3008  256 256 256 256 1 1 1.00 1 1 1 1.00 1  0 0 0.00 0  0 0 0.00 0  8388608 8388608 8388608.00 8388608
 64 MPI_Alltoallv msg = 8388608 chunk = 65536 512 61789.5000 8286.1975  64 192 192 68 6 0 3.00 3 8 1 2.82 2  0 0 0.00 0  0 0 0.00 0  16777216 8388608 8388608.00 8388608
 65 MPI_Alltoallv msg = 8388608 chunk = 65536 512 64045.6000 7994.3041  64 192 192 68 6 0 3.00 3 8 1 2.82 2  0 0 0.00 0  0 0 0.00 0  16777216 8388608 8388608.00 8388608
 66 MPI_Alltoallv msg = 8388608 chunk = 65536 512 61683.7000 8300.4100  64 192 192 68 6 0 3.00 3 8 1 2.82 2  0 0 0.00 0  0 0 0.00 0  16777216 8388608 8388608.00 8388608
 67 MPI_Alltoallv msg = 8388608 chunk = 65536 512 35720.2000 14333.6264  64 192 192 80 6 0 3.00 3 6 1 2.40 2  0 0 0.00 0  0 0 0.00 0  16777216 8388608 8388608.00 8388608
