O  10 OPTIQ_Alltoallv  msg = 8388608 chunk = 32768  4096 6271.0000 653165.3644  3846 11 4 7.51 8  6067359637 10485760 762600 1577576.61 3595116  315560 256 46 82.05 74  13224 5 1 3.44 3  315585 319 37 154.02 152  4 1 1.89 1  6684672 753664 2096738.88 1212416  446657 484 37 217.99 176  
O  11 OPTIQ_Alltoallv  msg = 8388608 chunk = 32768  8192 71531.0000 114523.7729  4006 14 1 3.91 4  48239396552 117440512 1290554 12041786.46 10485760  1865328 3328 20 465.63 260  29506 15 2 7.37 7  1865328 4247 25 920.69 742  6 1 3.11 3  50331648 589824 7336666.23 5603328  2127497 4247 25 1049.58 896  
O  12 OPTIQ_Alltoallv  msg = 8388608 chunk = 32768  8192 58726.0000 139495.2832  2075 7 1 2.03 2  31768733723 117440512 2396744 15310233.12 25165824  1886998 3328 36 909.40 640  16300 15 2 7.86 8  1886998 3520 43 1107.39 917  5 1 2.60 2  41943040 1179648 11238921.97 8388608  2149142 3520 51 1061.83 831  
O  13 OPTIQ_Alltoallv  msg = 8388608 chunk = 32768  8192 51832.0000 158049.0816  2700 9 1 2.64 2  35628350342 125829120 2097152 13195685.31 16777216  1873712 3584 42 693.97 459  20451 15 1 7.57 7  1873712 3404 28 1030.64 876  5 1 2.81 3  41943040 917504 9620306.45 8388608  2135881 3404 36 1074.39 917  
O  14 OPTIQ_Alltoallv  msg = 8388608 chunk = 32768  8192 49740.0000 164696.4214  3316 13 1 3.24 3  30940005086 117440512 1398101 9330520.23 13421768  1861688 3328 29 561.43 357  24273 15 1 7.32 7  1861688 3456 28 949.36 852  5 1 2.81 3  37748736 622592 8061360.71 6979584  2123857 3456 37 1049.34 953  
O  15 OPTIQ_Alltoallv  msg = 8388608 chunk = 32768  8192 9143.0000 895986.0002  4096 6 2 4.00 4  -118280176 12582912 2796202 -28877.00 5592404  520572 320 43 127.09 128  12298 6 2 3.00 4  520572 541 64 254.19 256  4 1 1.83 1  11173888 1376256 3807606.57 2097152  782741 725 128 382.01 384  
O  16 OPTIQ_Alltoallv  msg = 8388608 chunk = 32768  1024 30726.0000 33326.8242   283 4 1 2.21 2  10694076422 92274688 18874368 37788255.91 27962020  293584 2560 512 1037.40 774  2825 11 9 9.98 10  293584 1535 64 542.67 363  4 1 2.36 2  29360128 2097152 8919017.79 8388608  326352 1791 64 603.24 363  
O  17 OPTIQ_Alltoallv  msg = 8388608 chunk = 32768  1024 2353.0000 435189.1203  2009 22 11 15.70 16  4082418954 4575600 381300 2032065.18 2097152  91582 115 14 45.59 51  7658 6 1 3.81 4  91582 206 13 84.64 84  4 1 2.29 2  3047424 360448 1219605.15 1048576  124375 462 13 114.84 85  
O  18 OPTIQ_Alltoallv  msg = 8388608 chunk = 32768  1024 4019.0000 254789.7487  1456 14 6 11.38 12  4088552940 6990505 1198372 2808072.07 2581108  91858 172 18 63.09 60  5559 6 2 3.82 4  91883 277 18 101.64 90  4 1 2.25 2  4947968 589824 1655348.51 1409024  124651 533 18 137.89 90  
O  19 OPTIQ_Alltoallv  msg = 8388608 chunk = 32768  2048 34087.0000 60081.5560   896 13 1 3.50 3  15705709306 100663296 699050 17528693.42 10485760  413750 2816 20 461.77 256  5635 13 1 6.29 6  413775 2560 21 518.52 355  4 1 2.29 2  33554432 622592 6379059.16 4194304  479311 2688 25 600.64 413  
